open_porch_sf,mas_vnr_area,lot_area,bsmtfin_type_1,ms_zoning,lot_config
160,84.0,15256,6,RL,CulDSac
66,309.0,14200,3,RL,Corner
100,466.0,12438,1,RL,Inside
37,600.0,16023,6,RL,CulDSac
0,0.0,20064,2,RL,Inside
32,0.0,9819,5,RL,Inside
0,189.0,10400,1,RL,Inside
0,368.0,11643,2,RL,Inside
80,198.0,11645,6,RL,Inside
93,140.0,7328,1,RL,Inside
0,0.0,7822,1,RL,Corner
24,0.0,9018,1,RL,Inside
105,922.0,13472,6,RL,Inside
97,0.0,1533,6,RM,Inside
52,160.0,11003,6,FV,Inside
38,275.0,10790,1,RL,Inside
0,0.0,7128,3,RL,Inside
24,16.0,7713,1,RL,Inside
0,0.0,6240,3,RM,Inside
0,0.0,22420,4,RL,Inside
0,0.0,15300,3,RL,Inside
20,18.0,3196,1,RL,Inside
39,0.0,9360,6,RL,Inside
0,180.0,11241,5,RL,CulDSac
32,0.0,9260,1,RL,Corner
0,0.0,9239,6,RL,Inside
0,0.0,10044,5,RL,CulDSac
20,16.0,3182,6,RL,Inside
0,0.0,7626,6,RL,Inside
0,0.0,7008,1,RL,Corner
0,90.0,12160,4,RL,Inside
0,0.0,6305,1,RL,Inside
35,0.0,8846,1,RL,Inside
319,0.0,10659,3,RL,Inside
12,0.0,13108,1,RL,Inside
0,0.0,13500,4,RL,Inside
0,0.0,7750,1,RL,Inside
42,0.0,12450,6,RL,Inside
304,425.0,4500,6,RM,FR2
39,245.0,11198,1,RL,Inside
0,0.0,6221,2,RL,Inside
110,234.0,13200,4,RM,Corner
72,766.0,8769,6,RL,Corner
0,219.0,10200,6,RL,Inside
35,0.0,9550,5,RL,Corner
0,0.0,10331,5,RL,CulDSac
0,182.0,9587,6,RL,Inside
0,136.0,22002,5,RL,Corner
72,576.0,13000,3,RL,Corner
0,260.0,8250,3,RL,Inside
0,270.0,8170,5,RL,Inside
189,232.0,12048,0,RL,Inside
40,150.0,10858,2,RL,Corner
28,256.0,7577,5,RL,Corner
168,210.0,7500,6,FV,Inside
0,0.0,6120,5,RM,Inside
28,0.0,23580,6,RL,Inside
35,0.0,5306,6,RL,Inside
0,176.0,8092,5,RL,Inside
0,0.0,8593,3,RL,Inside
0,0.0,11067,0,RM,Corner
87,466.0,11929,1,RL,CulDSac
0,0.0,9900,4,RL,Corner
0,0.0,4882,3,RL,Inside
0,479.0,11423,6,RL,Inside
43,0.0,8772,6,RL,FR2
0,0.0,7628,1,RM,Inside
0,647.0,8220,6,RL,Inside
74,0.0,10615,4,RL,Corner
0,0.0,6000,3,RM,Inside
108,0.0,5400,1,RL,Corner
0,0.0,17979,5,RL,Corner
0,115.0,9520,3,RL,Inside
0,0.0,8012,6,RL,Inside
88,0.0,9000,5,RL,Corner
0,0.0,14299,3,RL,Inside
235,0.0,7050,6,FV,Inside
166,0.0,3180,1,FV,Inside
58,221.0,16451,1,RL,Corner
0,0.0,12887,3,RL,Inside
0,0.0,15578,1,RL,Corner
0,0.0,7200,5,RL,Inside
0,0.0,17043,1,RL,CulDSac
0,272.0,10000,4,RL,Corner
20,16.0,3182,6,RL,Inside
0,0.0,1950,2,RM,Inside
0,0.0,7700,2,RL,Corner
0,0.0,8731,4,RL,Inside
0,714.0,8232,6,RL,Inside
0,0.0,2280,5,RL,FR2
68,95.0,8935,1,RL,Inside
25,170.0,9125,1,RL,Inside
77,136.0,11075,4,RL,Corner
154,246.0,13438,6,RL,Corner
0,0.0,11070,4,RL,Inside
101,172.0,7800,1,RL,Inside
0,200.0,7060,6,RM,Inside
0,0.0,11836,4,RL,Corner
0,0.0,8382,1,RL,Inside
98,143.0,10192,1,RL,Inside
0,205.0,4426,6,RM,Inside
27,0.0,2280,5,RL,FR2
0,0.0,2887,6,RL,Inside
0,0.0,8520,1,RM,Inside
101,0.0,1596,6,RM,Inside
0,0.0,15600,4,RL,Inside
56,0.0,9313,1,RL,Inside
24,0.0,11064,2,RL,CulDSac
0,162.0,9000,5,RM,Inside
0,0.0,12000,3,RL,Inside
0,0.0,7692,1,RL,Inside
36,108.0,14267,5,RL,Corner
80,0.0,9675,4,RL,Corner
0,0.0,8400,1,RH,Inside
28,0.0,7500,1,RL,Inside
0,0.0,9600,3,RM,Inside
0,0.0,5814,6,RL,CulDSac
35,240.0,14860,6,RL,CulDSac
66,252.0,14803,3,RL,CulDSac
0,0.0,7550,1,RL,Inside
168,100.0,8125,6,FV,Inside
30,0.0,13673,1,RL,CulDSac
0,0.0,1533,3,RM,Inside
82,412.0,7658,6,RL,Inside
39,184.0,12292,6,RL,CulDSac
136,0.0,11923,1,RL,Corner
99,320.0,10010,4,RL,Inside
0,0.0,12358,3,RM,Inside
48,0.0,8577,1,RL,Inside
126,0.0,8640,1,FV,Inside
0,0.0,10447,5,RL,Inside
0,0.0,9600,5,RL,Corner
0,0.0,4899,4,RL,Corner
211,564.0,9246,1,RL,Inside
205,0.0,4928,5,RL,Inside
75,0.0,12692,6,RL,Inside
0,0.0,7476,3,RL,Corner
0,0.0,5362,1,RL,Corner
112,74.0,12090,1,RL,Inside
200,468.0,12539,6,RL,Inside
60,0.0,11888,1,RL,Inside
0,298.0,8755,5,RL,FR2
0,0.0,4080,1,RM,Inside
0,149.0,32463,4,RL,Inside
74,0.0,3696,1,RL,Inside
0,0.0,7560,2,RL,Inside
0,0.0,10592,1,RL,Inside
0,604.0,1680,5,RM,Inside
0,105.0,10382,5,RL,Inside
40,50.0,2522,1,RM,Inside
85,0.0,9370,5,RL,Inside
0,0.0,10246,6,RL,CulDSac
208,0.0,11475,5,RL,Inside
49,428.0,9986,1,RL,Inside
0,0.0,10475,3,RL,Inside
0,0.0,6000,2,RM,Inside
0,0.0,4280,1,RL,Inside
0,0.0,10895,3,RL,Corner
0,0.0,17503,1,RL,Inside
0,332.0,9723,1,RL,Corner
108,452.0,11694,6,RL,Inside
0,0.0,6000,1,RM,Inside
0,164.0,10519,1,RL,Inside
46,660.0,10437,6,RL,Inside
0,0.0,7514,5,RL,Inside
55,365.0,13654,1,RL,CulDSac
0,0.0,5747,1,RM,Inside
0,0.0,4500,3,RH,Inside
110,164.0,11830,6,RL,Inside
0,0.0,8520,3,RL,Corner
90,0.0,6760,5,RL,Inside
0,0.0,6191,2,RL,Corner
20,148.0,8700,5,RL,Inside
75,84.0,12003,1,RL,Corner
69,0.0,12700,5,RL,Inside
0,0.0,13125,4,RL,Inside
74,0.0,8638,5,RL,Inside
0,0.0,9967,1,RL,Inside
228,0.0,9600,1,RM,Corner
32,0.0,12774,4,RL,Inside
0,128.0,8163,5,RL,Inside
0,0.0,9900,1,RL,Corner
0,1115.0,13651,5,RL,Inside
0,0.0,7200,1,RM,Inside
0,0.0,9750,1,RM,Inside
39,0.0,11184,1,RL,Corner
0,0.0,6390,1,RL,Corner
131,157.0,10240,4,RL,Inside
45,140.0,9316,6,RL,Inside
0,0.0,7200,4,RL,Inside
43,206.0,12228,1,RL,Corner
96,0.0,10335,3,RL,Inside
0,335.0,12328,6,RL,Inside
0,0.0,8930,0,RM,Inside
0,0.0,9672,6,RL,Corner
95,525.0,13975,1,RL,Corner
0,0.0,7819,5,RL,Inside
0,0.0,11340,1,RM,Inside
0,504.0,1680,5,RM,Inside
0,0.0,6001,2,RL,Inside
126,41.0,11700,1,RL,Inside
133,162.0,12858,1,RL,Inside
0,324.0,9300,3,RL,Inside
0,275.0,7018,6,RL,Inside
0,0.0,6629,4,RH,Inside
0,0.0,10650,2,RL,Corner
32,216.0,2117,6,FV,Inside
130,232.0,13650,6,RL,Corner
72,0.0,8433,6,RL,Inside
0,0.0,6000,1,RM,Inside
54,0.0,8500,1,C (all),Inside
0,0.0,8712,1,C (all),Corner
30,174.0,7917,4,RL,Corner
25,0.0,6900,5,RM,Inside
0,0.0,9900,1,RL,Inside
64,340.0,13286,6,RL,Inside
0,0.0,12888,5,RL,Inside
0,0.0,8885,4,RL,Inside
30,0.0,8857,1,RL,Inside
39,0.0,14137,6,RL,Inside
0,0.0,6720,1,RL,Inside
84,0.0,7500,6,RL,Inside
50,0.0,13072,5,RL,Inside
80,274.0,10656,1,RL,Inside
0,252.0,7200,5,RL,Corner
25,0.0,8800,5,RL,Inside
341,0.0,10800,3,RM,Inside
0,39.0,13014,5,RL,Inside
0,210.0,15896,5,RL,CulDSac
0,0.0,5395,6,RL,Inside
60,0.0,5105,6,FV,FR2
0,0.0,8400,3,RL,Inside
0,222.0,12102,5,RL,Inside
57,0.0,10905,1,RL,CulDSac
21,52.0,9556,1,RL,Corner
0,0.0,6430,4,RH,Corner
110,210.0,14695,5,RL,Inside
0,0.0,9000,5,RM,Inside
39,0.0,8368,1,RL,Inside
0,0.0,41600,5,RL,FR2
0,0.0,6490,6,RL,Inside
0,174.0,7290,1,RL,Corner
32,138.0,7472,5,RL,CulDSac
0,571.0,11717,1,RL,Inside
124,40.0,11194,1,RL,Corner
84,227.0,11250,5,RL,Corner
35,0.0,8633,6,RL,FR2
0,0.0,8400,6,RL,Inside
0,23.0,8014,6,RL,CulDSac
0,180.0,12250,5,RL,Inside
50,0.0,2403,6,FV,FR2
0,0.0,8600,1,RM,Inside
21,0.0,13680,5,RL,Inside
152,0.0,5389,6,RL,Inside
0,0.0,10890,2,RL,Inside
70,0.0,9768,3,RL,Inside
22,0.0,8993,1,RL,Inside
0,0.0,11672,1,RL,Inside
0,239.0,9763,6,RM,Inside
175,0.0,9836,6,RM,Inside
87,422.0,10557,6,RL,Inside
87,105.0,8462,6,RL,Inside
0,0.0,10818,1,RL,Inside
0,0.0,7259,5,RL,Inside
32,94.0,11800,6,RL,Inside
0,0.0,7500,2,RL,Inside
98,472.0,159000,3,RL,CulDSac
0,0.0,6488,2,RL,Inside
56,640.0,14230,1,RL,Corner
40,0.0,7810,6,RL,Inside
78,630.0,14331,6,RL,Inside
172,0.0,3182,1,FV,Inside
36,376.0,1920,5,RM,Inside
66,0.0,10110,6,RL,Inside
54,0.0,10984,1,RL,Corner
80,945.0,14082,6,RL,Inside
96,120.0,8480,6,RL,Inside
168,157.0,12205,2,RL,Inside
34,260.0,15750,6,RL,FR3
64,0.0,8050,5,RL,Inside
0,0.0,7200,0,RL,Inside
0,0.0,5232,1,RM,Inside
49,562.0,11846,6,RL,Inside
60,1110.0,16900,6,RL,Inside
40,0.0,9636,1,RL,Corner
0,0.0,10012,4,RL,Inside
36,554.0,14303,6,RL,Corner
96,0.0,5707,1,RL,Inside
0,203.0,9360,5,RL,Inside
0,0.0,5680,1,RM,Inside
0,0.0,7000,4,RL,Inside
0,0.0,10480,1,RL,Inside
90,302.0,11578,1,RL,Inside
0,0.0,7018,0,RL,Inside
40,252.0,9130,6,RL,Inside
30,0.0,10800,1,RL,Corner
48,0.0,8244,1,RL,Inside
32,0.0,6000,1,RM,Inside
20,72.0,3621,6,RL,Inside
40,0.0,7837,1,RL,Inside
29,167.0,10665,6,RL,Inside
173,178.0,10457,4,RL,Inside
0,0.0,8281,3,RL,Inside
66,268.0,14948,6,RL,Inside
0,0.0,7000,5,RL,Inside
20,24.0,3940,6,RM,Inside
25,125.0,9382,1,RL,CulDSac
65,0.0,6854,2,RL,Inside
0,0.0,11515,0,RL,CulDSac
0,178.0,13837,6,RL,Corner
90,246.0,9938,6,RL,Inside
36,242.0,12633,1,RL,Inside
0,0.0,6876,4,RM,Inside
90,0.0,3951,4,FV,Inside
72,0.0,9856,1,RM,Corner
0,0.0,17808,1,RL,Inside
48,94.0,9627,2,RL,Inside
0,0.0,6000,1,RM,Inside
0,0.0,9757,5,RL,Inside
0,0.0,9280,5,RL,Inside
56,568.0,14780,6,RL,Corner
0,0.0,7740,1,RM,Inside
0,183.0,9600,3,RL,Inside
274,420.0,13478,6,RL,Corner
25,136.0,6853,6,RL,Inside
44,302.0,10667,4,RL,Inside
0,0.0,8212,3,RL,Inside
0,336.0,9100,3,RM,Inside
0,0.0,6000,3,RM,Inside
111,0.0,9316,1,RL,Inside
0,135.0,9464,4,RL,Corner
36,0.0,10400,1,RL,Corner
0,0.0,5310,1,RM,Corner
54,84.0,7406,6,RL,Inside
45,179.0,4538,6,FV,Inside
40,0.0,13346,6,RL,CulDSac
0,0.0,9639,1,RM,Inside
62,0.0,15387,5,RL,CulDSac
0,0.0,10050,3,RL,Inside
114,0.0,6240,1,RM,Inside
0,0.0,7506,1,RL,Corner
42,0.0,8900,3,RH,Inside
0,0.0,8480,3,RL,Inside
0,0.0,6000,1,RM,Corner
40,148.0,8847,6,RL,Inside
0,150.0,8050,4,RL,Inside
0,0.0,8294,1,RL,Inside
23,0.0,18494,1,RL,Corner
0,41.0,7162,1,RL,Inside
0,0.0,10918,1,RL,Inside
0,169.0,4435,6,RM,Inside
0,0.0,11250,1,RL,Inside
118,541.0,14375,6,RL,CulDSac
228,268.0,10029,6,RL,Corner
68,0.0,4060,6,RH,Inside
129,183.0,9020,3,RL,Inside
68,97.0,11777,2,RL,Inside
0,168.0,10171,6,RL,Inside
73,280.0,10400,1,RL,Inside
365,0.0,6240,4,RM,Inside
0,0.0,12150,6,RL,CulDSac
0,456.0,2645,1,FV,Inside
64,0.0,22692,3,RL,Inside
0,0.0,9600,2,RM,Inside
34,0.0,13830,6,RL,Inside
0,170.0,4435,6,RM,Inside
0,0.0,5890,5,RM,Corner
64,0.0,10859,1,RL,Corner
48,0.0,5330,6,RL,Inside
24,0.0,21780,0,I (all),Inside
26,176.0,10307,6,RL,Inside
125,116.0,4500,6,RM,FR2
21,327.0,9060,1,RM,Inside
48,212.0,2160,4,FV,Inside
32,0.0,7669,6,RL,Inside
0,0.0,9858,4,RL,Inside
11,0.0,10300,1,RM,Inside
175,288.0,8125,1,FV,Corner
0,0.0,14850,3,RL,Inside
16,360.0,9650,5,RL,Inside
110,85.0,14585,4,RL,CulDSac
168,36.0,9000,6,FV,Inside
72,283.0,13774,6,RL,Inside
65,60.0,5119,6,FV,CulDSac
27,210.0,9254,6,RL,Inside
92,140.0,10324,6,RL,Corner
0,0.0,8375,5,RL,Corner
234,171.0,9750,1,RL,Inside
77,96.0,7632,1,RL,Inside
0,56.0,15750,4,RL,Corner
0,0.0,9240,4,RL,Inside
141,253.0,10400,6,RL,Inside
0,202.0,8800,4,RL,Inside
121,99.0,11839,6,RL,Inside
74,113.0,9135,6,RL,Inside
0,0.0,14115,5,RL,Inside
62,350.0,14154,1,RL,Corner
444,0.0,6565,6,C (all),Corner
124,351.0,7700,1,RL,Inside
92,85.0,12361,6,RL,CulDSac
0,51.0,9720,5,RL,Inside
141,0.0,8640,6,FV,Inside
102,0.0,3180,1,FV,Inside
30,0.0,14963,6,RL,Inside
0,0.0,5000,1,RM,Inside
82,238.0,16870,6,RL,FR3
51,200.0,14157,6,RL,Corner
48,230.0,12456,6,RL,FR2
235,730.0,14836,6,RL,Inside
0,0.0,6956,1,RL,Inside
102,0.0,7862,6,FV,Inside
32,0.0,11050,1,RL,Inside
155,0.0,8924,1,RL,CulDSac
0,632.0,9610,3,RL,Corner
0,0.0,13710,4,RM,Inside
136,0.0,12552,6,FV,Corner
74,145.0,14565,6,RL,CulDSac
0,383.0,18559,6,RL,CulDSac
48,0.0,10880,5,RL,Inside
30,0.0,2280,1,RL,FR2
0,0.0,31250,0,A (agr),Inside
130,162.0,9187,6,FV,Inside
0,0.0,6270,4,RH,Inside
119,312.0,15660,4,RL,Corner
16,14.0,3087,6,RL,Inside
91,0.0,13450,6,RL,Corner
0,0.0,10125,0,RL,Inside
0,0.0,8146,1,RL,Corner
0,0.0,9600,1,RM,Inside
32,146.0,12328,6,RL,Inside
36,264.0,10141,4,RL,Inside
39,0.0,8529,6,RL,Inside
45,0.0,8127,6,FV,Inside
235,0.0,8400,1,RM,Corner
47,44.0,10751,5,RL,CulDSac
38,0.0,10010,5,RL,Inside
0,0.0,4280,2,RL,Inside
0,0.0,9800,5,RL,Corner
0,0.0,7560,3,RL,Inside
0,0.0,9600,1,RM,Inside
0,0.0,9880,5,RL,Inside
0,0.0,9600,4,RL,Inside
0,0.0,7931,4,RL,Inside
63,0.0,5100,1,RM,Inside
116,134.0,9720,6,RL,CulDSac
0,0.0,8521,5,RL,FR2
114,0.0,12461,6,RL,Corner
0,40.0,6950,5,RL,Inside
104,0.0,16905,4,RL,Inside
0,0.0,7155,1,RL,Inside
251,304.0,9205,5,RL,Inside
0,0.0,7697,1,RL,Inside
0,0.0,7800,6,RL,Inside
0,0.0,14357,5,RL,CulDSac
64,0.0,8775,6,RL,Inside
0,466.0,2645,6,FV,Inside
0,0.0,13568,5,RL,CulDSac
258,0.0,16321,4,RL,CulDSac
96,0.0,8640,6,FV,Inside
101,0.0,1596,6,RM,Inside
0,0.0,7315,3,RL,Inside
0,0.0,7614,1,RM,Inside
58,200.0,11000,4,RL,CulDSac
0,0.0,10337,1,RM,Inside
45,816.0,14803,6,RL,Inside
28,0.0,8765,5,RM,Inside
30,150.0,12720,6,RL,Inside
226,198.0,11128,6,RL,Corner
0,0.0,5160,1,RM,Corner
0,0.0,13072,1,RL,Inside
40,0.0,8814,2,RL,Inside
88,0.0,4484,5,RL,Corner
40,0.0,9019,5,RL,Inside
24,186.0,11932,1,RL,FR2
48,351.0,115149,6,RL,CulDSac
0,0.0,14330,3,RL,CulDSac
0,0.0,8777,0,RL,Inside
0,0.0,2308,5,RL,Inside
0,0.0,2500,5,RM,Corner
58,54.0,8049,5,RL,CulDSac
22,442.0,9590,6,RL,Corner
0,255.0,7200,5,RL,Inside
0,0.0,11500,3,RL,Inside
0,0.0,6756,1,RM,Inside
228,254.0,12030,1,RL,Inside
81,125.0,9554,6,RL,Inside
0,160.0,11361,5,RL,Inside
0,132.0,12416,5,RL,Inside
88,132.0,9600,5,RL,Corner
0,0.0,8267,1,RL,Corner
11,0.0,6000,5,RM,Inside
0,168.0,9600,1,RL,Inside
0,0.0,7350,1,RL,Inside
0,40.0,7703,5,RL,CulDSac
182,0.0,4347,1,RM,Inside
192,0.0,9600,4,RL,Inside
32,362.0,12256,6,RL,Corner
80,112.0,9547,1,RL,Inside
120,68.0,7200,6,FV,Inside
103,0.0,3600,1,RM,Inside
0,142.0,1680,1,RM,Inside
84,0.0,3316,6,FV,Inside
0,215.0,16387,6,RL,Inside
59,148.0,13265,6,RL,CulDSac
36,235.0,3242,6,RL,Inside
36,130.0,8991,6,RL,CulDSac
0,0.0,8000,4,RL,Inside
122,42.0,9303,5,RL,Corner
65,0.0,8544,1,RL,CulDSac
0,0.0,11425,4,RL,Corner
84,202.0,11404,5,RL,Inside
32,22.0,8229,1,RL,Inside
0,0.0,15635,0,RL,CulDSac
0,0.0,3153,1,RM,Inside
146,0.0,11096,6,FV,Inside
36,0.0,14000,1,RL,Inside
173,0.0,8098,6,RL,Inside
54,122.0,8393,2,RL,Corner
0,0.0,12900,6,RL,Inside
0,0.0,57200,4,RL,Inside
0,260.0,8078,1,RL,Inside
113,233.0,12384,1,RL,CulDSac
0,252.0,9927,6,RL,Inside
0,0.0,16300,3,RL,CulDSac
52,0.0,7915,6,RL,Inside
0,0.0,21750,1,RL,Inside
100,0.0,9116,1,RL,Corner
238,310.0,14419,6,RL,Corner
0,0.0,13070,3,RL,Corner
0,0.0,9855,1,RL,Corner
48,178.0,8118,6,RL,Inside
213,212.0,10920,4,RL,Corner
0,0.0,6600,5,RL,Inside
18,0.0,8199,6,RL,Inside
27,0.0,9947,6,RL,CulDSac
100,145.0,14330,5,RL,Corner
105,0.0,10769,6,RL,Inside
0,0.0,8846,6,RL,CulDSac
172,0.0,10600,1,RL,Inside
24,1.0,18890,6,RL,Inside
0,0.0,9142,1,RM,Inside
48,0.0,7750,1,RL,Inside
0,0.0,6060,1,RM,Inside
120,0.0,10172,5,RL,Inside
96,172.0,10380,2,RL,Inside
162,0.0,9337,6,RL,Inside
0,0.0,7200,0,RL,Inside
0,0.0,9600,3,RM,Inside
60,300.0,8640,5,RL,Inside
0,0.0,7931,4,RL,Inside
0,0.0,11625,4,RL,Inside
0,164.0,9600,4,RL,Inside
50,200.0,11478,6,RL,Inside
100,518.0,7740,6,RL,Inside
44,338.0,9520,6,RL,Inside
0,0.0,17199,5,RL,FR2
0,0.0,5400,2,RM,Corner
48,0.0,9900,1,RM,Inside
0,0.0,6000,3,RM,Inside
0,0.0,17778,5,RL,Inside
0,44.0,19645,6,RL,FR2
120,0.0,8750,1,RL,Inside
0,0.0,7785,0,RL,Inside
50,206.0,9139,6,RL,Inside
73,0.0,10140,2,RL,Inside
0,0.0,10122,0,RL,Inside
94,40.0,10141,1,RL,Corner
0,567.0,2205,5,RM,Inside
0,0.0,10914,1,RL,Inside
150,0.0,9196,1,RL,Inside
108,0.0,9803,6,FV,Inside
30,970.0,17169,6,RL,CulDSac
48,0.0,9171,1,RL,Inside
0,0.0,9750,6,RL,Inside
40,124.0,8604,6,RL,Inside
0,0.0,6155,1,RM,FR3
50,0.0,9487,6,RL,Inside
28,80.0,3675,6,RM,Inside
0,0.0,10200,1,C (all),Inside
42,204.0,11750,6,RL,Inside
48,60.0,11896,6,RL,Corner
0,288.0,10400,3,RL,Inside
0,0.0,10970,6,RL,Inside
66,196.0,11883,6,RL,Inside
38,0.0,10552,3,RL,Inside
42,340.0,9760,4,RL,Inside
32,513.0,2998,6,FV,Inside
0,0.0,6821,4,RL,Inside
113,0.0,11354,6,RL,Inside
0,0.0,9069,6,RL,Inside
0,0.0,8064,5,RL,Inside
0,0.0,5400,5,RL,Corner
36,603.0,53504,5,RL,CulDSac
