overall_qual,age,exter_qual,bsmt_qual,total_bsmt_sf,heating_qc,1st_flr_sf,gr_liv_area,total_bath,kitchen_qual,fireplace_qu,garage_cars,house_style,exterior_1st,mas_vnr_type,foundation,garage_type,overall_qual*overall_qual,overall_qual*gr_liv_area,exter_qual*1st_flr_sf,total_bsmt_sf*kitchen_qual,mas_vnr_area,lot_area,bsmtfin_type_1,ms_zoning,lot_config,saleprice
7,1,4,4,1351.0,5,1361,1361,2.0,4,0,2.0,1Story,VinylSd,None,PConc,Attchd,49,9527,5444,5404.0,0.0,9627,6,RL,Inside,193000
5,5,3,5,1430.0,5,1430,1430,2.0,4,0,2.0,1Story,VinylSd,None,PConc,Attchd,25,7150,4290,5720.0,0.0,10114,1,RL,Inside,173500
5,58,3,3,624.0,2,624,1344,1.0,3,0,3.0,2Story,AsbShng,None,BrkTil,Detchd,25,6720,1872,1872.0,0.0,4571,1,RM,Inside,98000
5,46,3,3,1121.0,3,1121,1121,2.0,3,0,2.0,1Story,VinylSd,None,PConc,Detchd,25,5605,3363,3363.0,0.0,8816,3,RL,Corner,139000
6,30,3,3,660.0,5,1285,1285,1.5,3,3,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,36,7710,3855,1980.0,148.0,8197,1,RL,Inside,143500
7,1,3,4,756.0,5,764,1547,2.5,4,0,2.0,2Story,VinylSd,None,PConc,Attchd,49,10829,2292,3024.0,0.0,8640,6,FV,Inside,215200
5,39,3,4,894.0,4,894,894,1.0,3,1,2.0,1Story,VinylSd,None,CBlock,Attchd,25,4470,2682,2682.0,0.0,8724,4,RL,Inside,129000
8,9,4,4,1501.0,5,1659,1659,3.0,5,5,2.0,1Story,CemntBd,None,PConc,Attchd,64,13272,6636,7505.0,0.0,5664,6,RL,Inside,278000
6,3,3,4,1168.0,5,1187,1187,3.0,3,0,2.0,1Story,HdBoard,None,PConc,Attchd,36,7122,3561,3504.0,0.0,7980,5,RL,Inside,185000
5,51,3,3,1056.0,3,1056,1056,2.0,3,0,2.0,1Story,Wd Sdng,None,CBlock,Attchd,25,5280,3168,3168.0,0.0,34650,3,RL,Inside,145000
6,48,3,3,1453.0,5,1453,1453,3.0,3,3,2.0,1Story,MetalSd,BrkFace,CBlock,Attchd,36,8718,4359,4359.0,3.0,10573,3,RL,Corner,187500
5,1,3,3,894.0,5,894,894,2.0,3,4,1.0,1Story,MetalSd,None,CBlock,Detchd,25,4470,2682,2682.0,0.0,8450,6,RL,Inside,138500
5,13,3,3,942.0,5,1265,1938,2.0,4,4,1.0,1.5Fin,WdShing,None,CBlock,Detchd,25,9690,3795,3768.0,0.0,11700,4,RL,Inside,198000
5,1,3,3,672.0,5,672,924,1.0,3,1,2.0,1.5Fin,MetalSd,None,CBlock,Detchd,25,4620,2016,2016.0,0.0,8064,1,RL,Corner,122900
8,28,4,4,2524.0,3,2524,2524,3.5,4,4,2.0,1Story,BrkFace,None,PConc,Attchd,64,20192,10096,10096.0,0.0,9600,5,RL,Inside,278000
8,56,3,4,792.0,2,792,1517,1.0,4,4,2.0,2Story,BrkFace,None,PConc,Detchd,64,12136,2376,3168.0,0.0,11435,1,RL,Corner,230000
8,10,4,4,1494.0,5,1494,1494,2.5,5,4,2.0,1Story,BrkFace,None,PConc,Attchd,64,11952,5976,7470.0,0.0,9549,2,RL,CulDSac,270000
6,55,3,3,948.0,3,948,948,1.0,3,0,2.0,1Story,Wd Sdng,None,CBlock,Detchd,36,5688,2844,2844.0,0.0,10950,5,RL,Inside,125000
8,1,4,5,1705.0,5,1718,1718,3.0,4,4,3.0,1Story,VinylSd,Stone,PConc,Attchd,64,13744,6872,6820.0,336.0,10637,6,RL,Inside,297000
6,51,3,4,160.0,2,1142,1142,1.0,3,4,1.0,1Story,Wd Sdng,BrkFace,CBlock,Basment,36,6852,3426,480.0,82.0,9000,1,RL,Inside,113500
5,29,3,3,757.0,5,925,1475,2.0,3,3,1.0,2Story,CemntBd,None,PConc,Attchd,25,7375,2775,2271.0,0.0,2665,5,RM,Inside,127000
6,33,3,4,1844.0,5,1844,1844,2.0,3,3,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,36,11064,5532,5532.0,480.0,11751,4,RL,Inside,190000
7,34,3,3,1242.0,2,1242,1242,1.5,3,3,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,49,8694,3726,3726.0,320.0,9600,5,RL,Inside,175500
5,13,3,4,990.0,5,990,990,2.0,3,0,1.0,1Story,VinylSd,None,PConc,Detchd,25,4950,2970,2970.0,0.0,8428,6,RL,Inside,146000
5,43,4,3,1256.0,4,1256,1256,2.5,3,0,1.0,1Story,HdBoard,None,CBlock,Attchd,25,6280,5024,3768.0,0.0,9937,4,RL,Inside,147500
5,31,3,4,1097.0,5,1110,1110,2.0,4,3,2.0,SFoyer,Plywood,BrkFace,PConc,Attchd,25,5550,3330,4388.0,104.0,9101,6,RL,Corner,165500
5,54,3,3,1050.0,5,1050,1795,2.0,3,0,1.0,1.5Fin,MetalSd,BrkFace,BrkTil,Attchd,25,8975,3150,3150.0,335.0,12150,1,RM,Inside,131500
5,43,3,3,1040.0,5,1040,1040,2.0,3,0,1.0,1Story,HdBoard,None,CBlock,Detchd,25,5200,3120,3120.0,0.0,11200,3,RL,Inside,129500
8,58,3,3,608.0,3,983,1873,1.5,3,4,2.0,2Story,BrkFace,Stone,PConc,Detchd,64,14984,2949,1824.0,40.0,9670,2,RL,Inside,257076
5,49,3,3,984.0,5,984,1604,2.0,3,0,2.0,1.5Fin,Wd Sdng,None,CBlock,Detchd,25,8020,2952,2952.0,0.0,10998,2,RL,Inside,117000
7,8,3,4,776.0,3,851,1502,1.5,3,4,1.0,2Story,Stucco,None,BrkTil,Attchd,49,10514,2553,2328.0,0.0,7200,1,RL,Inside,149000
5,56,3,3,1056.0,3,1063,1063,2.0,3,0,1.0,1Story,HdBoard,Stone,CBlock,Attchd,25,5315,3189,3168.0,110.0,9920,3,RL,Inside,128000
7,4,4,4,764.0,5,764,1626,2.5,4,0,2.0,2Story,VinylSd,Stone,PConc,BuiltIn,49,11382,3056,3056.0,106.0,2448,1,RL,Inside,155000
6,6,4,4,756.0,5,768,1524,2.5,4,0,2.0,2Story,MetalSd,BrkFace,PConc,Detchd,36,9144,3072,3024.0,513.0,2998,6,FV,Inside,166000
4,59,3,3,1122.0,3,1328,1981,3.0,4,3,2.0,1.5Fin,WdShing,None,BrkTil,Detchd,16,7924,3984,4488.0,0.0,7804,4,RL,Inside,135000
7,28,3,4,1392.0,3,1392,2784,4.5,4,3,2.0,2Story,Plywood,BrkFace,CBlock,Attchd,49,19488,4176,5568.0,184.0,16692,4,RL,Inside,250000
6,55,3,3,216.0,3,1575,1575,1.5,4,4,2.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,36,9450,4725,864.0,522.0,10170,1,RL,Corner,155000
6,41,3,3,663.0,3,663,1352,1.5,3,0,1.0,2Story,HdBoard,Stone,CBlock,Attchd,36,8112,1989,1989.0,143.0,9364,5,RL,Corner,158000
7,5,4,4,600.0,5,600,1200,3.5,4,0,2.0,2Story,MetalSd,None,PConc,Detchd,49,8400,2400,2400.0,0.0,2544,6,FV,Inside,149500
5,31,3,3,936.0,3,936,936,1.0,3,0,1.0,1Story,MetalSd,None,CBlock,Attchd,25,4680,2808,2808.0,0.0,9888,4,RL,Inside,121000
6,54,3,3,1040.0,3,1040,1040,1.5,3,0,1.0,1Story,Wd Sdng,None,CBlock,Attchd,36,6240,3120,3120.0,0.0,7942,3,RL,Inside,136000
6,12,3,4,916.0,4,916,1636,2.5,3,3,2.0,2Story,HdBoard,None,PConc,Attchd,36,9816,2748,2748.0,0.0,15038,3,RL,Corner,173000
8,3,4,4,1152.0,5,1164,2270,2.5,4,4,3.0,2Story,VinylSd,BrkFace,PConc,Attchd,64,18160,4656,4608.0,348.0,11764,6,RL,CulDSac,290000
8,0,4,4,1184.0,5,1184,2610,2.5,5,4,2.0,2Story,CemntBd,None,PConc,BuiltIn,64,20880,4736,5920.0,0.0,9000,6,FV,Inside,303477
7,9,4,4,1420.0,4,1483,1483,2.5,3,3,2.0,1Story,Wd Sdng,None,CBlock,Attchd,49,10381,5932,4260.0,0.0,20062,5,RL,Inside,270000
5,58,2,3,936.0,4,960,1740,1.0,5,4,1.0,1.5Fin,WdShing,None,BrkTil,Detchd,25,8700,1920,4680.0,0.0,7308,3,RM,Corner,122250
5,54,3,3,1382.0,4,1382,1382,1.5,4,0,1.0,1Story,AsbShng,None,CBlock,Attchd,25,6910,4146,5528.0,0.0,8750,3,RL,Inside,153000
7,12,3,4,531.0,3,567,1098,2.0,3,4,1.0,2Story,Wd Sdng,None,BrkTil,Detchd,49,7686,1701,1593.0,0.0,4000,6,RL,Inside,148500
7,2,4,4,976.0,5,976,1708,2.0,4,0,2.0,2Story,VinylSd,Stone,PConc,Detchd,49,11956,3904,3904.0,117.0,3363,1,RM,Inside,130000
9,1,5,5,1802.0,5,1802,1802,2.5,5,4,3.0,1Story,MetalSd,Stone,PConc,Attchd,81,16218,9010,9010.0,510.0,13615,1,RL,Corner,372000
7,1,4,4,1362.0,5,1506,1506,2.0,4,4,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,10542,6024,5448.0,145.0,3013,6,RL,Inside,213490
7,0,4,4,1508.0,5,1508,1508,2.0,4,3,2.0,1Story,VinylSd,Stone,PConc,Attchd,49,10556,6032,6032.0,96.0,17485,6,RL,Inside,308030
7,11,4,5,1840.0,5,2032,2032,4.0,4,0,3.0,1Story,MetalSd,BrkFace,PConc,Attchd,49,14224,8128,7360.0,668.0,23730,6,RL,Inside,300000
6,47,3,3,655.0,5,1194,1194,1.5,3,2,2.0,1Story,BrkFace,None,CBlock,BuiltIn,36,7164,3582,1965.0,0.0,8910,5,RL,Corner,159500
7,2,4,4,970.0,5,970,1709,2.0,4,0,2.0,2Story,VinylSd,Stone,PConc,Detchd,49,11963,3880,3880.0,50.0,2522,1,RM,Inside,137500
7,1,4,4,1616.0,5,1616,1616,2.0,4,0,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,11312,6464,6464.0,228.0,8688,1,RL,Inside,232000
6,58,4,3,768.0,3,768,768,1.0,3,0,2.0,1Story,Stucco,None,BrkTil,Detchd,36,4608,3072,2304.0,0.0,6291,1,RM,Inside,93850
5,56,3,3,872.0,2,872,872,1.0,2,4,1.0,1Story,BrkFace,Stone,BrkTil,Detchd,25,4360,2616,1744.0,65.0,17529,1,RL,Inside,105000
4,58,3,3,520.0,2,520,520,1.0,2,0,1.0,1Story,MetalSd,None,BrkTil,Detchd,16,2080,1560,1040.0,0.0,6324,1,RM,Inside,68500
5,50,3,3,1105.0,3,1105,2274,2.0,3,0,2.0,2Story,MetalSd,BrkFace,CBlock,Detchd,25,11370,3315,3315.0,361.0,11600,3,RL,Corner,154300
5,57,3,3,616.0,5,616,1232,1.0,3,0,2.0,2Story,MetalSd,None,BrkTil,Detchd,25,6160,1848,1848.0,0.0,4571,4,RM,Inside,114000
9,0,5,5,2216.0,5,2234,2234,3.0,5,4,3.0,1Story,VinylSd,Stone,PConc,Attchd,81,20106,11170,11080.0,748.0,17423,6,RL,CulDSac,501837
5,58,3,3,876.0,4,876,1416,1.5,3,4,3.0,1.5Fin,Wd Sdng,None,BrkTil,Detchd,25,7080,2628,2628.0,0.0,12665,1,RM,Inside,153900
4,3,3,3,864.0,4,864,864,1.0,3,0,2.0,1Story,VinylSd,None,CBlock,Detchd,16,3456,2592,2592.0,0.0,9000,5,RL,FR2,130000
6,11,3,5,1189.0,5,1189,1189,3.0,3,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,36,7134,3567,3567.0,197.0,4500,6,RM,FR2,160500
9,0,5,5,1666.0,5,1666,1666,3.0,4,4,2.0,1Story,MetalSd,BrkFace,PConc,Attchd,81,14994,8330,6664.0,572.0,6373,6,RL,Inside,310090
5,7,3,4,928.0,3,928,928,1.0,3,0,1.0,1Story,Wd Sdng,None,CBlock,Attchd,25,4640,2784,2784.0,0.0,13300,3,RL,Inside,132000
5,40,3,4,1288.0,3,1336,1336,2.5,3,2,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,25,6680,4008,3864.0,128.0,9600,5,RL,Inside,163000
7,6,4,4,600.0,5,600,1200,2.5,4,0,2.0,2Story,MetalSd,BrkFace,PConc,Detchd,49,8400,2400,2400.0,120.0,3215,6,FV,Inside,155000
6,39,3,3,1427.0,4,1427,1427,2.5,3,0,2.0,SLvl,MetalSd,None,CBlock,Attchd,36,8562,4281,4281.0,0.0,11104,6,RL,Inside,183000
7,5,4,4,860.0,5,1212,1992,3.5,4,3,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,49,13944,4848,3440.0,254.0,15295,6,RL,Corner,211000
7,15,4,4,754.0,5,754,1540,3.5,4,0,2.0,2Story,VinylSd,None,PConc,Attchd,49,10780,3016,3016.0,0.0,9109,2,RL,Inside,184000
5,30,3,0,0.0,3,1535,1535,2.0,3,0,2.0,1Story,HdBoard,None,Slab,Attchd,25,7675,4605,0.0,0.0,7018,0,RL,Inside,118858
5,46,3,3,1152.0,3,1152,1152,2.0,3,4,2.0,SLvl,Wd Sdng,BrkFace,PConc,Attchd,25,5760,3456,3456.0,86.0,14112,6,RL,Corner,180500
8,0,4,4,1141.0,5,1151,1151,3.0,4,0,2.0,1Story,VinylSd,Stone,PConc,Attchd,64,9208,4604,4564.0,30.0,3523,6,FV,Inside,166000
6,49,3,3,1138.0,5,1138,1138,1.5,3,3,2.0,SLvl,Wd Sdng,BrkFace,CBlock,Attchd,36,6828,3414,3414.0,54.0,15312,4,RL,Inside,148000
5,51,3,3,894.0,4,1074,1074,1.0,4,4,2.0,1Story,Wd Sdng,None,CBlock,Detchd,25,5370,3222,3576.0,0.0,7450,3,RL,Inside,124000
9,2,5,5,1561.0,5,1561,1561,3.0,5,4,2.0,1Story,MetalSd,BrkFace,PConc,Attchd,81,14049,7805,7805.0,246.0,7313,6,RL,Inside,277500
8,11,4,4,1342.0,5,1358,2726,2.5,4,5,3.0,2Story,VinylSd,BrkFace,PConc,Attchd,64,21808,5432,5368.0,397.0,10019,5,RL,Inside,350000
9,4,5,5,1884.0,5,1884,1884,3.0,5,4,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,81,16956,9420,9420.0,296.0,15401,6,RL,CulDSac,387000
8,1,5,4,1426.0,5,1671,1671,4.0,5,4,2.0,1Story,VinylSd,None,CBlock,Attchd,64,13368,8355,7130.0,0.0,16280,6,RL,Inside,290000
6,7,3,5,804.0,5,804,1961,3.5,4,3,2.0,2Story,VinylSd,None,PConc,BuiltIn,36,11766,2412,3216.0,0.0,12209,5,RL,CulDSac,215000
5,34,3,4,1153.0,5,1193,1193,3.0,3,0,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,25,5965,3579,3459.0,144.0,13110,6,RL,Corner,146500
7,6,4,4,673.0,5,673,1382,3.5,4,0,2.0,2Story,MetalSd,None,PConc,Detchd,49,9674,2692,2692.0,0.0,2651,6,FV,FR2,165000
6,57,3,3,714.0,3,1664,2526,2.0,4,4,1.0,1.5Fin,Stucco,None,BrkTil,Detchd,36,15156,4992,2856.0,0.0,8520,3,RM,Inside,136000
6,49,3,4,1705.0,5,1390,1390,2.5,5,4,2.0,1Story,Wd Sdng,Stone,CBlock,Attchd,36,8340,4170,8525.0,902.0,39384,5,RL,CulDSac,252000
7,7,4,4,764.0,5,764,1626,2.5,4,0,2.0,2Story,VinylSd,Stone,PConc,BuiltIn,49,11382,3056,3056.0,106.0,2628,1,RL,Inside,175500
5,59,3,3,690.0,3,868,1558,1.5,3,4,2.0,2Story,Wd Sdng,None,BrkTil,Detchd,25,7790,2604,2070.0,0.0,6406,5,RM,Inside,150000
5,29,3,3,978.0,3,1422,1422,1.0,3,3,1.0,1Story,Wd Sdng,None,CBlock,Attchd,25,7110,4266,2934.0,0.0,12342,1,RL,Inside,139900
5,16,3,3,1078.0,3,1128,1573,2.0,3,4,2.0,1.5Fin,MetalSd,None,PConc,Detchd,25,7865,3384,3234.0,0.0,6240,1,RM,Inside,162900
6,48,3,3,1116.0,3,1116,1116,1.5,3,0,2.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,36,6696,3348,3348.0,261.0,10000,1,RL,Corner,160000
6,11,3,3,1140.0,4,1707,1707,2.0,3,3,2.0,1Story,HdBoard,BrkFace,PConc,Attchd,36,10242,5121,3420.0,144.0,11088,5,RL,Inside,184000
5,47,3,3,1466.0,3,1466,1466,1.5,2,4,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,25,7330,4398,2932.0,132.0,17755,4,RL,Inside,149900
9,8,4,4,1614.0,5,1638,1638,3.0,5,3,2.0,1Story,MetalSd,BrkFace,PConc,Attchd,81,14742,6552,8070.0,260.0,4765,6,FV,Inside,300000
5,48,3,3,988.0,4,1721,1721,3.0,3,3,2.0,1Story,Plywood,Stone,CBlock,Basment,25,8605,5163,2964.0,275.0,10532,3,RL,Corner,145000
6,12,3,4,928.0,5,928,1764,3.5,4,0,2.0,2Story,VinylSd,None,PConc,Attchd,36,10584,2784,3712.0,0.0,15426,6,RL,Inside,231500
5,53,3,3,1202.0,3,1202,1202,1.5,3,0,1.0,1Story,BrkFace,None,CBlock,Attchd,25,6010,3606,3606.0,0.0,8750,3,RL,Inside,120000
5,46,3,3,988.0,3,988,988,2.0,3,0,2.0,1Story,Wd Sdng,BrkFace,CBlock,Detchd,25,4940,2964,2964.0,57.0,9945,3,RL,Inside,128500
5,60,3,3,1008.0,4,1028,1028,1.0,3,4,2.0,1Story,WdShing,None,CBlock,Detchd,25,5140,3084,3024.0,0.0,8960,1,RM,Inside,115000
5,59,3,3,720.0,3,720,1284,1.5,3,0,1.0,1.5Fin,AsbShng,None,CBlock,Detchd,25,6420,2160,2160.0,0.0,3500,2,RM,Inside,110000
9,31,4,4,994.0,3,1599,2944,3.0,4,4,3.0,2Story,Wd Sdng,BrkFace,CBlock,Attchd,81,26496,6396,3976.0,1050.0,24572,6,RL,CulDSac,150000
8,2,4,5,707.0,5,707,1414,2.5,4,4,2.0,2Story,VinylSd,None,PConc,Attchd,64,11312,2828,2828.0,0.0,9056,1,RL,Inside,178000
7,16,3,3,637.0,5,959,1609,1.5,4,4,3.0,2Story,Wd Sdng,None,BrkTil,2Types,49,11263,2877,2548.0,0.0,12320,1,RL,Inside,199500
6,8,3,3,813.0,5,813,1525,3.5,3,3,2.0,2Story,VinylSd,None,PConc,Attchd,36,9150,2439,2439.0,0.0,8238,6,RL,Inside,183500
5,41,2,4,624.0,5,1092,1656,1.5,3,1,1.0,SLvl,HdBoard,None,CBlock,Attchd,25,8280,2184,1872.0,0.0,6000,3,RM,Inside,126000
7,31,3,4,1055.0,2,1055,1055,2.0,3,0,2.0,1Story,Plywood,None,CBlock,Attchd,49,7385,3165,3165.0,0.0,2529,5,RL,Inside,148500
5,3,3,3,676.0,5,676,1352,2.5,4,0,2.0,2Story,VinylSd,None,BrkTil,Detchd,25,6760,2028,2704.0,0.0,10800,1,RL,Inside,149000
6,32,3,4,855.0,3,855,1456,2.5,3,3,2.0,2Story,Plywood,None,CBlock,Attchd,36,8736,2565,2565.0,0.0,2349,5,RL,Inside,137900
8,15,4,4,1719.0,5,1719,1719,3.5,4,4,2.0,1Story,BrkFace,None,PConc,Attchd,64,13752,6876,6876.0,0.0,10846,6,RL,CulDSac,324000
6,35,3,3,483.0,3,483,987,2.0,3,0,1.0,2Story,HdBoard,BrkFace,CBlock,Detchd,36,5922,1449,1449.0,359.0,1680,2,RM,Inside,103400
8,1,4,4,1554.0,5,1554,1554,2.0,4,4,2.0,1Story,VinylSd,Stone,PConc,Attchd,64,12432,6216,6216.0,108.0,4590,6,RL,Inside,209500
10,0,5,5,1528.0,5,1528,3390,3.5,5,5,3.0,2Story,CemntBd,BrkFace,PConc,BuiltIn,100,33900,7640,7640.0,662.0,18062,1,RL,CulDSac,545224
4,59,3,3,864.0,5,864,864,1.0,3,0,2.0,1Story,VinylSd,None,CBlock,Detchd,16,3456,2592,2592.0,0.0,19138,2,RL,Corner,141000
6,6,3,4,982.0,5,1008,1889,2.5,3,3,2.0,2Story,VinylSd,None,PConc,Attchd,36,11334,3024,2946.0,0.0,8658,5,RL,Inside,215000
5,0,3,3,1040.0,5,1040,1040,2.5,3,0,1.0,1Story,HdBoard,None,CBlock,Detchd,25,5200,3120,3120.0,0.0,6897,5,RL,Corner,127000
5,12,3,3,1172.0,3,1172,1172,2.0,3,0,1.0,1Story,WdShing,None,CBlock,Attchd,25,5860,3516,3516.0,0.0,9525,4,RL,Inside,128000
8,0,4,5,1642.0,5,1418,1418,2.5,4,4,3.0,1Story,CemntBd,None,PConc,Attchd,64,11344,5672,6568.0,0.0,12853,6,FV,Inside,267916
6,57,3,3,884.0,3,959,1367,1.0,3,4,1.0,1.5Fin,Wd Sdng,None,BrkTil,Detchd,36,8202,2877,2652.0,0.0,6240,2,RM,Inside,127500
7,6,4,0,0.0,5,495,1922,3.0,4,5,2.0,SFoyer,HdBoard,BrkFace,Slab,BuiltIn,49,13454,1980,0.0,500.0,7301,0,RL,Corner,198500
6,27,3,4,1422.0,3,1422,1422,2.0,4,3,2.0,1Story,MetalSd,BrkFace,CBlock,Attchd,36,8532,4266,5688.0,210.0,12090,6,RL,Inside,175500
7,7,4,4,985.0,5,985,1842,3.5,4,3,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,49,12894,3940,3940.0,144.0,8826,6,RL,Inside,217500
4,60,3,3,888.0,5,888,1962,1.5,3,3,2.0,1.5Fin,MetalSd,None,CBlock,Detchd,16,7848,2664,2664.0,0.0,8094,1,RM,Inside,149500
5,5,4,3,864.0,5,1120,1120,1.5,3,3,2.0,1Story,HdBoard,BrkFace,PConc,Attchd,25,5600,4480,2592.0,165.0,10710,4,RL,Inside,148800
9,0,4,5,1992.0,5,1992,2868,3.5,5,4,3.0,2Story,CemntBd,Stone,PConc,BuiltIn,81,25812,7968,9960.0,208.0,16056,6,RL,Inside,556581
6,52,3,3,1478.0,4,1478,1478,2.5,3,4,2.0,1Story,BrkFace,None,CBlock,Attchd,36,8868,4434,4434.0,0.0,8400,5,RL,Inside,156500
7,10,4,4,930.0,5,950,1995,3.5,4,3,2.0,2Story,VinylSd,None,PConc,Attchd,49,13965,3800,3720.0,0.0,11250,6,RL,Corner,237000
5,22,3,3,912.0,2,912,912,1.5,3,0,1.0,1Story,MetalSd,None,CBlock,Attchd,25,4560,2736,2736.0,0.0,7535,4,RL,Inside,120000
6,2,3,4,1326.0,5,1326,1326,3.0,4,0,2.0,1Story,VinylSd,None,PConc,Attchd,36,7956,3978,5304.0,0.0,12216,6,RL,Corner,203000
8,19,3,4,1191.0,3,1204,1204,2.0,3,0,2.0,1Story,HdBoard,None,CBlock,Attchd,64,9632,3612,3573.0,0.0,3701,1,RL,Inside,130000
6,44,3,3,780.0,3,798,1611,2.5,3,0,2.0,2Story,HdBoard,BrkFace,CBlock,Attchd,36,9666,2394,2340.0,360.0,9760,6,RL,Inside,167900
4,36,3,3,960.0,3,960,960,2.0,3,0,2.0,1Story,HdBoard,BrkFace,CBlock,Detchd,16,3840,2880,2880.0,160.0,9873,5,RL,Inside,129000
5,10,3,3,1070.0,3,1236,1236,1.5,4,2,1.0,1Story,HdBoard,BrkFace,CBlock,Attchd,25,6180,3708,4280.0,64.0,10011,4,RL,Inside,134450
5,0,3,3,816.0,5,1416,1416,2.0,4,0,2.0,1Story,Wd Sdng,None,BrkTil,Attchd,25,7080,4248,3264.0,0.0,25339,1,RL,Inside,112000
7,19,4,4,929.0,5,946,1873,3.5,4,3,2.0,2Story,HdBoard,BrkFace,PConc,Attchd,49,13111,3784,3716.0,360.0,8883,6,RL,Inside,207000
7,4,4,4,764.0,5,764,1626,3.5,4,0,2.0,2Story,VinylSd,Stone,PConc,BuiltIn,49,11382,3056,3056.0,106.0,2448,6,RL,Inside,154000
5,49,3,3,816.0,3,816,816,2.0,3,0,1.0,1Story,WdShing,None,CBlock,Detchd,25,4080,2448,2448.0,0.0,7100,6,RL,Corner,129900
5,34,3,4,536.0,3,536,1112,1.5,3,0,1.0,2Story,CemntBd,None,CBlock,Attchd,25,5560,1608,1608.0,0.0,2592,3,RM,Inside,85000
7,58,3,3,572.0,3,572,1111,1.0,3,4,1.0,1.5Fin,Wd Sdng,None,PConc,Detchd,49,7777,1716,1716.0,0.0,5700,1,RM,Inside,116900
6,31,3,3,855.0,3,855,1441,2.5,3,3,2.0,2Story,Plywood,None,CBlock,Attchd,36,8646,2565,2565.0,0.0,2289,5,RL,Inside,148500
4,60,3,4,672.0,2,672,924,2.0,2,0,1.0,1.5Fin,MetalSd,None,BrkTil,Detchd,16,3696,2016,1344.0,0.0,12180,4,RL,Inside,80000
