overall_qual,age,exter_qual,bsmt_qual,total_bsmt_sf,heating_qc,1st_flr_sf,gr_liv_area,total_bath,kitchen_qual,totrms_abvgrd,fireplace_qu,garage_age,garage_finish,garage_cars,house_style,exterior_1st,mas_vnr_type,foundation,garage_type,saleprice
9,0,5,5,1666.0,5,1666,1666,3.0,4,6,4,0.0,2,2.0,1Story,MetalSd,BrkFace,PConc,Attchd,310090
5,7,3,4,928.0,3,928,928,1.0,3,4,0,51.0,1,1.0,1Story,Wd Sdng,None,CBlock,Attchd,132000
5,40,3,4,1288.0,3,1336,1336,2.5,3,6,2,40.0,2,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,163000
7,6,4,4,600.0,5,600,1200,2.5,4,4,0,6.0,2,2.0,2Story,MetalSd,BrkFace,PConc,Detchd,155000
6,39,3,3,1427.0,4,1427,1427,2.5,3,7,0,39.0,2,2.0,SLvl,MetalSd,None,CBlock,Attchd,183000
7,5,4,4,860.0,5,1212,1992,3.5,4,7,3,11.0,2,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,211000
7,15,4,4,754.0,5,754,1540,3.5,4,6,0,15.0,2,2.0,2Story,VinylSd,None,PConc,Attchd,184000
5,30,3,0,0.0,3,1535,1535,2.0,3,8,0,30.0,1,2.0,1Story,HdBoard,None,Slab,Attchd,118858
5,46,3,3,1152.0,3,1152,1152,2.0,3,6,4,46.0,2,2.0,SLvl,Wd Sdng,BrkFace,PConc,Attchd,180500
8,0,4,4,1141.0,5,1151,1151,3.0,4,5,0,1.0,3,2.0,1Story,VinylSd,Stone,PConc,Attchd,166000
6,49,3,3,1138.0,5,1138,1138,1.5,3,6,3,49.0,2,2.0,SLvl,Wd Sdng,BrkFace,CBlock,Attchd,148000
5,51,3,3,894.0,4,1074,1074,1.0,4,6,4,41.0,1,2.0,1Story,Wd Sdng,None,CBlock,Detchd,124000
9,2,5,5,1561.0,5,1561,1561,3.0,5,6,4,2.0,3,2.0,1Story,MetalSd,BrkFace,PConc,Attchd,277500
8,11,4,4,1342.0,5,1358,2726,2.5,4,9,5,11.0,2,3.0,2Story,VinylSd,BrkFace,PConc,Attchd,350000
9,4,5,5,1884.0,5,1884,1884,3.0,5,7,4,4.0,3,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,387000
8,1,5,4,1426.0,5,1671,1671,4.0,5,6,4,32.0,2,2.0,1Story,VinylSd,None,CBlock,Attchd,290000
6,7,3,5,804.0,5,804,1961,3.5,4,7,3,8.0,3,2.0,2Story,VinylSd,None,PConc,BuiltIn,215000
5,34,3,4,1153.0,5,1193,1193,3.0,3,6,0,34.0,3,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,146500
7,6,4,4,673.0,5,673,1382,3.5,4,6,0,6.0,1,2.0,2Story,MetalSd,None,PConc,Detchd,165000
6,57,3,3,714.0,3,1664,2526,2.0,4,10,4,91.0,1,1.0,1.5Fin,Stucco,None,BrkTil,Detchd,136000
6,49,3,4,1705.0,5,1390,1390,2.5,5,4,4,49.0,1,2.0,1Story,Wd Sdng,Stone,CBlock,Attchd,252000
7,7,4,4,764.0,5,764,1626,2.5,4,6,0,7.0,2,2.0,2Story,VinylSd,Stone,PConc,BuiltIn,175500
5,59,3,3,690.0,3,868,1558,1.5,3,7,4,70.0,1,2.0,2Story,Wd Sdng,None,BrkTil,Detchd,150000
5,29,3,3,978.0,3,1422,1422,1.0,3,6,3,47.0,2,1.0,1Story,Wd Sdng,None,CBlock,Attchd,139900
5,16,3,3,1078.0,3,1128,1573,2.0,3,8,4,78.0,1,2.0,1.5Fin,MetalSd,None,PConc,Detchd,162900
6,48,3,3,1116.0,3,1116,1116,1.5,3,5,0,48.0,1,2.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,160000
6,11,3,3,1140.0,4,1707,1707,2.0,3,7,3,31.0,3,2.0,1Story,HdBoard,BrkFace,PConc,Attchd,184000
5,47,3,3,1466.0,3,1466,1466,1.5,2,6,4,47.0,3,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,149900
9,8,4,4,1614.0,5,1638,1638,3.0,5,5,3,8.0,3,2.0,1Story,MetalSd,BrkFace,PConc,Attchd,300000
5,48,3,3,988.0,4,1721,1721,3.0,3,7,3,48.0,1,2.0,1Story,Plywood,Stone,CBlock,Basment,145000
6,12,3,4,928.0,5,928,1764,3.5,4,7,0,12.0,2,2.0,2Story,VinylSd,None,PConc,Attchd,231500
5,53,3,3,1202.0,3,1202,1202,1.5,3,6,0,53.0,2,1.0,1Story,BrkFace,None,CBlock,Attchd,120000
5,46,3,3,988.0,3,988,988,2.0,3,5,0,44.0,1,2.0,1Story,Wd Sdng,BrkFace,CBlock,Detchd,128500
5,60,3,3,1008.0,4,1028,1028,1.0,3,5,4,83.0,1,2.0,1Story,WdShing,None,CBlock,Detchd,115000
5,59,3,3,720.0,3,720,1284,1.5,3,5,0,61.0,1,1.0,1.5Fin,AsbShng,None,CBlock,Detchd,110000
9,31,4,4,994.0,3,1599,2944,3.0,4,9,4,31.0,2,3.0,2Story,Wd Sdng,BrkFace,CBlock,Attchd,150000
8,2,4,5,707.0,5,707,1414,2.5,4,6,4,2.0,3,2.0,2Story,VinylSd,None,PConc,Attchd,178000
7,16,3,3,637.0,5,959,1609,1.5,4,8,4,43.0,1,3.0,2Story,Wd Sdng,None,BrkTil,2Types,199500
6,8,3,3,813.0,5,813,1525,3.5,3,6,3,9.0,3,2.0,2Story,VinylSd,None,PConc,Attchd,183500
5,41,2,4,624.0,5,1092,1656,1.5,3,7,1,41.0,1,1.0,SLvl,HdBoard,None,CBlock,Attchd,126000
7,31,3,4,1055.0,2,1055,1055,2.0,3,4,0,31.0,1,2.0,1Story,Plywood,None,CBlock,Attchd,148500
5,3,3,3,676.0,5,676,1352,2.5,4,7,0,70.0,1,2.0,2Story,VinylSd,None,BrkTil,Detchd,149000
6,32,3,4,855.0,3,855,1456,2.5,3,6,3,32.0,1,2.0,2Story,Plywood,None,CBlock,Attchd,137900
8,15,4,4,1719.0,5,1719,1719,3.5,4,6,4,15.0,3,2.0,1Story,BrkFace,None,PConc,Attchd,324000
6,35,3,3,483.0,3,483,987,2.0,3,5,0,35.0,1,1.0,2Story,HdBoard,BrkFace,CBlock,Detchd,103400
8,1,4,4,1554.0,5,1554,1554,2.0,4,6,4,1.0,2,2.0,1Story,VinylSd,Stone,PConc,Attchd,209500
10,0,5,5,1528.0,5,1528,3390,3.5,5,10,5,0.0,3,3.0,2Story,CemntBd,BrkFace,PConc,BuiltIn,545224
4,59,3,3,864.0,5,864,864,1.0,3,4,0,59.0,1,2.0,1Story,VinylSd,None,CBlock,Detchd,141000
6,6,3,4,982.0,5,1008,1889,2.5,3,9,3,6.0,3,2.0,2Story,VinylSd,None,PConc,Attchd,215000
5,0,3,3,1040.0,5,1040,1040,2.5,3,6,0,48.0,1,1.0,1Story,HdBoard,None,CBlock,Detchd,127000
5,12,3,3,1172.0,3,1172,1172,2.0,3,5,0,56.0,3,1.0,1Story,WdShing,None,CBlock,Attchd,128000
8,0,4,5,1642.0,5,1418,1418,2.5,4,6,4,0.0,2,3.0,1Story,CemntBd,None,PConc,Attchd,267916
6,57,3,3,884.0,3,959,1367,1.0,3,6,4,29.0,1,1.0,1.5Fin,Wd Sdng,None,BrkTil,Detchd,127500
7,6,4,0,0.0,5,495,1922,3.0,4,7,5,6.0,2,2.0,SFoyer,HdBoard,BrkFace,Slab,BuiltIn,198500
6,27,3,4,1422.0,3,1422,1422,2.0,4,7,3,27.0,3,2.0,1Story,MetalSd,BrkFace,CBlock,Attchd,175500
7,7,4,4,985.0,5,985,1842,3.5,4,7,3,7.0,3,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,217500
4,60,3,3,888.0,5,888,1962,1.5,3,9,3,95.0,1,2.0,1.5Fin,MetalSd,None,CBlock,Detchd,149500
5,5,4,3,864.0,5,1120,1120,1.5,3,5,3,43.0,2,2.0,1Story,HdBoard,BrkFace,PConc,Attchd,148800
9,0,4,5,1992.0,5,1992,2868,3.5,5,11,4,1.0,3,3.0,2Story,CemntBd,Stone,PConc,BuiltIn,556581
6,52,3,3,1478.0,4,1478,1478,2.5,3,6,4,52.0,2,2.0,1Story,BrkFace,None,CBlock,Attchd,156500
7,10,4,4,930.0,5,950,1995,3.5,4,8,3,11.0,2,2.0,2Story,VinylSd,None,PConc,Attchd,237000
5,22,3,3,912.0,2,912,912,1.5,3,5,0,49.0,3,1.0,1Story,MetalSd,None,CBlock,Attchd,120000
6,2,3,4,1326.0,5,1326,1326,3.0,4,6,0,2.0,3,2.0,1Story,VinylSd,None,PConc,Attchd,203000
8,19,3,4,1191.0,3,1204,1204,2.0,3,5,0,19.0,2,2.0,1Story,HdBoard,None,CBlock,Attchd,130000
6,44,3,3,780.0,3,798,1611,2.5,3,7,0,44.0,2,2.0,2Story,HdBoard,BrkFace,CBlock,Attchd,167900
4,36,3,3,960.0,3,960,960,2.0,3,6,0,36.0,1,2.0,1Story,HdBoard,BrkFace,CBlock,Detchd,129000
5,10,3,3,1070.0,3,1236,1236,1.5,4,6,2,49.0,1,1.0,1Story,HdBoard,BrkFace,CBlock,Attchd,134450
5,0,3,3,816.0,5,1416,1416,2.0,4,7,0,0.0,1,2.0,1Story,Wd Sdng,None,BrkTil,Attchd,112000
7,19,4,4,929.0,5,946,1873,3.5,4,7,3,19.0,2,2.0,2Story,HdBoard,BrkFace,PConc,Attchd,207000
7,4,4,4,764.0,5,764,1626,3.5,4,6,0,5.0,2,2.0,2Story,VinylSd,Stone,PConc,BuiltIn,154000
5,49,3,3,816.0,3,816,816,2.0,3,5,0,49.0,1,1.0,1Story,WdShing,None,CBlock,Detchd,129900
5,34,3,4,536.0,3,536,1112,1.5,3,4,0,34.0,1,1.0,2Story,CemntBd,None,CBlock,Attchd,85000
7,58,3,3,572.0,3,572,1111,1.0,3,5,4,26.0,1,1.0,1.5Fin,Wd Sdng,None,PConc,Detchd,116900
6,31,3,3,855.0,3,855,1441,2.5,3,7,3,31.0,1,2.0,2Story,Plywood,None,CBlock,Attchd,148500
4,60,3,4,672.0,2,672,924,2.0,2,5,0,69.0,1,1.0,1.5Fin,MetalSd,None,BrkTil,Detchd,80000
5,24,3,4,1060.0,3,1126,1126,2.0,3,5,0,24.0,1,2.0,SFoyer,VinylSd,None,PConc,Attchd,152000
5,56,3,2,381.0,5,992,992,1.0,3,6,0,56.0,1,1.0,1Story,VinylSd,None,CBlock,Detchd,155891
6,57,3,3,768.0,5,752,1376,1.0,4,7,0,30.0,1,2.0,1.5Fin,Wd Sdng,None,PConc,Detchd,165000
7,0,4,4,1218.0,5,1218,1218,2.0,4,4,0,1.0,2,2.0,1Story,VinylSd,None,PConc,Attchd,204500
5,12,3,3,728.0,5,888,1644,1.5,4,7,4,65.0,1,1.0,2Story,MetalSd,Stone,CBlock,Attchd,146500
7,31,3,4,1271.0,3,1601,1601,2.0,3,7,3,31.0,2,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,157000
7,9,3,3,1313.0,4,1313,2495,2.0,3,10,4,58.0,1,2.0,2Story,Wd Sdng,None,BrkTil,Detchd,184000
6,3,4,4,783.0,5,807,1509,3.5,4,7,4,4.0,3,2.0,2Story,VinylSd,None,PConc,Attchd,183200
5,47,3,3,1092.0,3,1092,1092,1.5,3,6,1,47.0,1,1.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,139000
7,14,4,4,1311.0,5,1325,2418,3.5,4,9,3,15.0,2,3.0,2Story,Wd Sdng,BrkFace,PConc,Attchd,341000
6,39,3,3,483.0,3,483,987,1.5,3,5,0,39.0,1,1.0,2Story,HdBoard,BrkFace,CBlock,Detchd,96000
4,6,3,4,1121.0,5,1121,1121,2.0,3,5,0,7.0,2,2.0,1Story,VinylSd,None,PConc,Attchd,140000
6,14,3,3,912.0,3,1236,1236,2.0,3,6,0,53.0,1,2.0,1Story,MetalSd,None,CBlock,Attchd,149700
5,31,3,4,1056.0,5,1074,1074,2.5,3,6,0,31.0,2,2.0,1Story,HdBoard,None,CBlock,Attchd,153500
1,56,2,0,0.0,1,733,733,1.0,2,4,0,56.0,1,2.0,1Story,AsbShng,None,Slab,Attchd,13100
7,5,4,4,884.0,5,884,1768,3.5,4,8,0,5.0,2,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,224900
7,1,4,4,1257.0,5,1266,1266,2.0,4,6,3,1.0,1,2.0,1Story,VinylSd,None,PConc,Attchd,176000
8,7,4,4,1683.0,5,2129,2872,2.5,4,9,3,15.0,3,2.0,1.5Fin,HdBoard,BrkFace,PConc,Attchd,285000
8,0,4,4,1485.0,5,1464,1464,3.0,4,6,0,0.0,1,3.0,1Story,VinylSd,Stone,PConc,Attchd,282922
7,40,3,3,924.0,5,1216,2157,2.5,4,8,4,40.0,3,2.0,2Story,MetalSd,BrkFace,CBlock,Attchd,226000
8,0,5,5,1234.0,5,1264,2576,2.5,5,10,4,0.0,3,3.0,2Story,VinylSd,BrkFace,PConc,BuiltIn,361919
9,0,4,5,1398.0,5,1414,2798,4.5,5,11,4,1.0,3,3.0,2Story,VinylSd,BrkFace,PConc,BuiltIn,457347
8,31,4,4,966.0,5,1743,1743,2.5,4,5,2,31.0,3,2.0,1Story,Wd Sdng,None,CBlock,Attchd,279000
6,32,3,3,1567.0,3,1567,1567,3.0,4,5,3,32.0,2,2.0,1Story,Plywood,None,PConc,Attchd,196000
7,33,3,4,1090.0,3,1370,1370,2.0,3,6,3,33.0,2,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,152000
5,40,3,3,1248.0,3,1338,2634,4.5,3,12,0,40.0,1,4.0,2Story,MetalSd,BrkFace,CBlock,Detchd,200000
8,0,4,5,1570.0,5,1590,1590,3.5,5,6,0,1.0,3,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,294900
7,0,4,4,1450.0,5,1450,1450,2.0,4,6,0,1.0,2,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,224243
6,56,3,2,832.0,3,846,1338,2.0,3,7,0,32.0,1,2.0,1.5Fin,AsbShng,None,BrkTil,Detchd,92000
7,0,4,4,728.0,5,728,1456,2.5,4,8,4,0.0,3,2.0,2Story,VinylSd,None,PConc,Attchd,179540
10,6,5,5,2392.0,5,2392,2392,2.0,5,8,5,6.0,3,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,386250
4,37,3,4,530.0,3,530,992,2.0,3,4,0,37.0,3,1.0,SLvl,CemntBd,None,CBlock,BuiltIn,106500
10,1,5,5,1017.0,5,1026,2007,3.5,5,10,5,1.0,3,3.0,2Story,VinylSd,Stone,PConc,Attchd,310000
7,9,4,4,1066.0,5,1108,2385,2.5,4,8,3,9.0,3,3.0,2Story,VinylSd,BrkFace,PConc,BuiltIn,252000
7,57,3,3,918.0,4,918,1646,2.0,3,7,4,66.0,1,1.0,2.5Unf,MetalSd,None,CBlock,Detchd,164000
7,0,4,4,728.0,5,728,1456,2.5,4,7,0,0.0,3,2.0,2Story,VinylSd,Stone,PConc,Attchd,177594
5,30,3,3,528.0,4,548,1040,1.0,3,5,0,31.0,3,2.0,1.5Fin,VinylSd,None,CBlock,Detchd,123900
6,57,3,4,1370.0,3,1370,2624,3.5,3,10,4,89.0,1,3.0,2Story,Wd Sdng,None,BrkTil,Detchd,239000
5,33,3,3,1068.0,3,1264,1264,2.0,3,7,3,45.0,1,2.0,1Story,Plywood,None,CBlock,Attchd,169000
7,2,4,4,1374.0,5,1557,1557,2.0,4,7,3,3.0,3,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,234000
6,32,3,4,957.0,3,1287,1287,2.5,3,5,2,32.0,2,2.0,SFoyer,Plywood,None,CBlock,Attchd,173000
6,40,3,3,1004.0,5,1004,1004,2.0,3,5,3,40.0,3,2.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,149000
7,1,4,4,1162.0,5,1162,1162,2.0,4,6,0,1.0,3,2.0,1Story,VinylSd,None,PConc,Attchd,170000
5,5,3,3,960.0,5,960,960,2.0,4,6,0,45.0,3,1.0,1Story,VinylSd,None,CBlock,Attchd,144900
5,42,3,4,1196.0,3,1196,1196,2.0,3,6,0,42.0,2,1.0,1Story,MetalSd,None,CBlock,Attchd,144000
8,5,4,4,1256.0,5,1269,1269,2.0,4,6,3,6.0,3,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,192000
5,4,4,3,1031.0,4,1031,1031,2.0,4,5,0,57.0,1,1.0,1Story,Wd Sdng,None,CBlock,Attchd,145500
4,8,3,2,448.0,5,448,720,1.0,2,5,0,106.0,1,1.0,1.5Fin,MetalSd,None,BrkTil,Attchd,86900
6,56,3,3,1505.0,5,1505,1505,2.0,3,6,3,56.0,2,2.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,149500
5,57,3,2,920.0,5,954,954,1.0,2,5,4,69.0,1,1.0,1Story,MetalSd,None,PConc,Basment,119750
6,0,3,4,750.0,5,750,1500,2.5,4,6,0,1.0,2,2.0,2Story,VinylSd,None,PConc,Attchd,173900
